UniprotID,Results,Uniprot_NEorER,Uniprot_subcell
Q9NUU6,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9NUU6', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31056421'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31056421'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31056421'}], 'value': 'Peripheral membrane protein', 'id': 'SL-9903'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31056421'}], 'value': 'Nucleus envelope', 'id': 'SL-0178'}}]}]}",1.0,"Cytoplasm, Endoplasmic reticulum membrane, Nucleus envelope"
Q96SK2,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q96SK2', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,Membrane
A0A140VJX5,"{'entryType': 'UniProtKB unreviewed (TrEMBL)', 'primaryAccession': 'A0A140VJX5'}",0.0,
Q8NBV4,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8NBV4', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Both the N- and C-terminal are exposed to the cytoplasm/nucleoplasm'}]}, 'subcellularLocations': [{'location': {'value': 'Nucleus envelope', 'id': 'SL-0178'}}, {'location': {'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}}, {'location': {'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,"Nucleus envelope, Endoplasmic reticulum membrane, Membrane"
A0A384NPM3,"{'entryType': 'UniProtKB unreviewed (TrEMBL)', 'primaryAccession': 'A0A384NPM3'}",0.0,
Q8N9R8,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8N9R8', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Nuclear localization is required for inhibition of MRTFA'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19350017'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19350017'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}]}]}",0.0,"Membrane, Nucleus, Cytoplasm"
Q3LXA3,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q3LXA3', 'comments': []}",0.0,
A0A140VJH7,"{'entryType': 'UniProtKB unreviewed (TrEMBL)', 'primaryAccession': 'A0A140VJH7', 'comments': []}",0.0,
Q8N4F4,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8N4F4', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'molecule': 'Isoform 1', 'subcellularLocations': [{'location': {'value': 'Cell membrane', 'id': 'SL-0039'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31553721'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}, {'commentType': 'SUBCELLULAR LOCATION', 'molecule': 'Isoform 2', 'subcellularLocations': [{'location': {'value': 'Cell membrane', 'id': 'SL-0039'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31553721'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,"Cell membrane, Cell membrane"
Q9NVM9,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9NVM9', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '17974005'}], 'value': 'Nuclear location is required for recruitment of dynein motors to nuclear envelope at G2/M'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '23904267'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '23097494'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '23904267'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}]}]}",0.0,"Nucleus, Cytoplasm"
Q9UKR5,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9UKR5', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",1.0,Endoplasmic reticulum membrane
Q6FII3,"{'entryType': 'UniProtKB unreviewed (TrEMBL)', 'primaryAccession': 'Q6FII3', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000256', 'source': 'ARBA', 'id': 'ARBA00004477'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000256', 'source': 'ARBA', 'id': 'ARBA00004477'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000256', 'source': 'ARBA', 'id': 'ARBA00004141'}], 'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000256', 'source': 'ARBA', 'id': 'ARBA00004141'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,"Endoplasmic reticulum membrane, Membrane"
Q86TW5,"{'entryType': 'UniProtKB unreviewed (TrEMBL)', 'primaryAccession': 'Q86TW5', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000256', 'source': 'ARBA', 'id': 'ARBA00004477'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000256', 'source': 'ARBA', 'id': 'ARBA00004477'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000256', 'source': 'ARBA', 'id': 'ARBA00004141'}], 'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000256', 'source': 'ARBA', 'id': 'ARBA00004141'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,"Endoplasmic reticulum membrane, Membrane"
O95476,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'O95476', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'value': 'Nucleus membrane', 'id': 'SL-0182'}, 'topology': {'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}]}]}",0.0,"Endoplasmic reticulum membrane, Nucleus membrane"
Q96P16,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q96P16', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '22231121'}], 'value': 'Nucleus', 'id': 'SL-0191'}}]}]}",0.0,Nucleus
A0A024RC37,"{'entryType': 'Inactive', 'primaryAccession': 'A0A024RC37', 'inactiveReason': {'inactiveReasonType': 'DELETED'}}",0.0,
Q9NQG5,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9NQG5', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '22231121'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '22264791'}], 'value': 'Nucleus', 'id': 'SL-0191'}}]}]}",0.0,Nucleus
Q9H0A0,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9H0A0', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19303003'}], 'value': 'Nucleolar in interphase and redistributes to the perichromosomal layer and to the midbody during telophase'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000255', 'source': 'HAMAP-Rule', 'id': 'MF_03211'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '14592445'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19303003'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24786082'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '25653167'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '30165671'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '34516797'}], 'value': 'Nucleus, nucleolus', 'id': 'SL-0188'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000255', 'source': 'HAMAP-Rule', 'id': 'MF_03211'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19303003'}], 'value': 'Midbody', 'id': 'SL-0469'}}]}]}",0.0,"Nucleus, nucleolus, Midbody"
O75340,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'O75340', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '17045351'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21122810'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27716508'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27813252'}], 'value': 'Interaction with RBM22 induces relocalization from the cytoplasm to the nucleus (PubMed:17045351). Translocated from the cytoplasm to the nucleus after heat shock cell treatment. Accumulates in cytoplasmic vesicle-like organelles after heat shock treatment, which may represent stress granules (PubMed:21122810). In response to calcium increase, relocates from cytoplasm to COPII vesicle coat (PubMed:27716508). Localizes to endoplasmic reticulum exit site (ERES) (PubMed:27813252)'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16957052'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27813252'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16957052'}], 'value': 'Peripheral membrane protein', 'id': 'SL-9903'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27716508'}], 'value': 'Cytoplasmic vesicle, COPII-coated vesicle membrane', 'id': 'SL-0078'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27716508'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27784779'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '17045351'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21122810'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '27784779'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19864416'}], 'value': 'Endosome', 'id': 'SL-0101'}}]}]}",1.0,"Endoplasmic reticulum membrane, Cytoplasmic vesicle, COPII-coated vesicle membrane, Cytoplasm, Nucleus, Endosome"
Q6P2H8,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q6P2H8', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '33824347'}], 'value': 'Nucleus outer membrane', 'id': 'SL-0183'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}]}]}",1.0,Nucleus outer membrane
Q5SY16,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q5SY16', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Colocalizes with pre-60S rRNP particles'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000250', 'source': 'UniProtKB', 'id': 'Q3TZX8'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21063389'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31288032'}], 'value': 'Nucleus, nucleolus', 'id': 'SL-0188'}}]}]}",0.0,"Nucleus, Nucleus, nucleolus"
Q9BVI4,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9BVI4', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}], 'value': 'Nucleus membrane', 'id': 'SL-0182'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '12429849'}], 'value': 'Nucleus, nucleolus', 'id': 'SL-0188'}}]}]}",1.0,"Nucleus membrane, Nucleus, nucleolus"
O75425,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'O75425', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Membrane', 'id': 'SL-0162'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,Membrane
Q9H936,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9H936', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000250', 'source': 'UniProtKB', 'id': 'A0A0G2K5L2'}], 'value': 'Mitochondrion inner membrane', 'id': 'SL-0168'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000255'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,Mitochondrion inner membrane
O94905,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'O94905', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Associated with lipid raft-like domains of the endoplasmic reticulum membrane'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16835267'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '17502376'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19240031'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16835267'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '17502376'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '19240031'}], 'value': 'Single-pass type II membrane protein', 'id': 'SL-9906'}}]}]}",1.0,Endoplasmic reticulum membrane
P49756,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'P49756', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Colocalizes predominantly, with SFRS2 and LUC7L3 splicing factors, in nuclear speckles. Cytoplasmic localization is faint'}]}, 'subcellularLocations': [{'location': {'value': 'Nucleus speckle', 'id': 'SL-0186'}}, {'location': {'value': 'Cytoplasm', 'id': 'SL-0086'}}]}]}",0.0,"Nucleus speckle, Cytoplasm"
Q6ZMZ3,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q6ZMZ3', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21937718'}], 'value': 'Nucleus outer membrane', 'id': 'SL-0183'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21937718'}], 'value': 'Single-pass type IV membrane protein', 'id': 'SL-9908'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '21937718'}], 'value': 'Nucleus envelope', 'id': 'SL-0178'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Rough endoplasmic reticulum', 'id': 'SL-0235'}}]}]}",1.0,"Nucleus outer membrane, Nucleus envelope, Rough endoplasmic reticulum"
Q9P0S9,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9P0S9', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Mitochondrion membrane', 'id': 'SL-0171'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,Mitochondrion membrane
Q6ZMJ2,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q6ZMJ2', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000255', 'source': 'HAMAP-Rule', 'id': 'MF_03070'}], 'value': 'Cell membrane', 'id': 'SL-0039'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000255', 'source': 'HAMAP-Rule', 'id': 'MF_03070'}], 'value': 'Single-pass type II membrane protein', 'id': 'SL-9906'}}]}]}",0.0,Cell membrane
Q8N163,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8N163', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '20160719'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24824780'}], 'value': 'Recruited to chromatin, post-UV irradiation. Sequestered to the cytoplasm in the presence of MCC. Translocated to the cytoplasm during UV-induced apoptosis'}]}, 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '18445686'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '20074560'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '20160719'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '23352644'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24824780'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24962073'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '25661920'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '20160719'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24824780'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '18445686'}], 'value': 'Cytoplasm, cytoskeleton, spindle', 'id': 'SL-0251'}}]}]}",0.0,"Nucleus, Cytoplasm, Cytoplasm, cytoskeleton, spindle"
Q6NW34,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q6NW34', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000250', 'source': 'UniProtKB', 'id': 'Q8R2U2'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000250', 'source': 'UniProtKB', 'id': 'Q8R2U2'}], 'value': 'Nucleus, nucleolus', 'id': 'SL-0188'}}]}]}",0.0,"Nucleus, Nucleus, nucleolus"
